company_adddress,add_full,add_off
4337WV | 33,PODIUM 33,0
4811XV | 21,TORENSTRAAT 21,0
5611JV | 50,KLEINE BERG 50,0
1811EK | 68,LAAT 68,0
2903AE | 34,KOPERWIEK 34,0
6001GL | 19,MUNTPASSAGE 19,0
2161EW | 8,BLOKHUIS 8,0
3431LN | 53,PASSAGE 53,0
6041EC | 5,LINDANUSSTRAAT 5,0
3011BN | 78,VASTELAND 78,0
1062KR | 30,KONINGIN WILHELMINAPLEIN 30,0
6041TD | 212,STADSWEIDE 212 UNIT 17,0
2202GB | 48,HOOFDSTRAAT 48,0
5224AB | 75,HELFTHEUVELPASSAGE 75,0
1016LT | 99,ROZENGRACHT 99,0
1074AD | 69,VAN WOUSTRAAT 69 H,0
3811HK | 20,KOESTRAAT 20,0
9712BJ | 1,GROTE KROMME ELLEBOOG 1,0
4703TB | 70,ROSADA 70 UNIT NR 3,0
1118LD | 30,ANCHORAGELAAN 30,0
8242PN | 60,BATAVIAPLEIN 60 SHOP 40,0
4551LA | 115,WESTKADE 115,0
1081HZ | 1118,DE BOELELAAN 1118,0
6811ES | 11,VIJZELSTRAAT 11,0
2511BB | 8,VLAMINGSTRAAT 8,0
3811AA | 23,LANGESTRAAT 23,0
4873AB | 18,WINKELCENTRUM 18,0
1071BM | 39,P CORNELISZ HOOFTSTR 39 H 41,0
5025JJ | 58,KORVELSEWEG 58,0
8011PA | 15,SASSENSTRAAT 15,0
7556BE | 50,EXPOLAAN 50,0
5401GR | 20,SACRAMENTSWEG 20,0
7511JS | 30,KORTE HAAKSBERGERSTRAAT 30,0
2353TT | 39,WINKELHOF 39,0
3831NE | 3,DE GRUTTERIJ 3,0
2132DM | 168,MARKTLAAN 168,0
3144BA | 92035,KONINGSHOEK 92035,0
1013CB | 55,LE MAIREKADE 55,0
3511AA | 7,ZAKKENDRAGERSSTEEG 7,0
2981ET | 22,RIDDERHOF 22,0
2741NP | 57,BINNENDOOR 57,0
7902EH | 195,HOOFDSTRAAT 195 BG,0
2289EX | 101,VRIJENBANSELAAN 101,0
5611AN | 17,DEMER 17,0
3074EN | 112,BEIJERLANDSELAAN 112 B,0
1016CD | 312,HERENGRACHT 312 HV,0
8013PM | 19,VOLTASTRAAT 19,0
1012AB | 19,STATIONSPLEIN 19 S,0
8017JR | 7,STATIONSPASSAGE 7,0
2011LR | 11,STATIONSPLEIN 11 G,0
3511CE | 11,STATIONSHAL 11 C,0
3013HA | 10,STATIONSSINGEL 10,0
2515BW | 41,STATIONSPLEIN 41,0
5038CB | 35,SPOORLAAN 35,0
2312AJ | 3,STATIONSPLEIN 3 D,0
5211BP | 145,STATIONSPLEIN 145,0
1043DT | 105,ORLYPLEIN 105,0
6811KL | 150,STATIONSPLEIN 150,0
6512AB | 6,STATIONSPLEIN 6,0
3818LE | 51,STATIONSPLEIN 51 A,0
9726AE | 4,STATIONSPLEIN 4,0
1097DN | 1,JULIANAPLEIN 1,0
6221BT | 27,STATIONSPLEIN 27 A 05,0
5611AC | 22,STATIONSPLEIN 22 21,0
1101DS | 602,JOHAN CRUIJFF BOULEVARD 602,0
2595AA | 10,KONINGIN JULIANAPLEIN 10,0
8242PP | 89,BATAVIAPLEIN 89,0
1012AA | 24,DE RUIJTERKADE 24 B,0
1566JP | 30,INDUSTRIEWEG 30,0
1101BR | 75,HAAKSBERGWEG 75,400
1016CB | 8,HARTENSTRAAT 8 A,0
1334KT | 101,TORONTOWEG 101,0
6191JX | 34,MARKTSTRAAT 34,0
2132MT | 29,HOEKSTEEN 29,0
1016CD | 312,HERENGRACHT 312 1 V,0
6411BN | 18,VALKENBURGERWEG 18,0
1185XR | 8,STARTBAAN 8,0
2284DP | 5,BOGAARDPLEIN 5,0
3543MB | 7,DE HELDINNENLAAN 7,0
9727KB | 7,LEONARD SPRINGERLAAN 7,0
3011JD | 65,MEENT 65 A,0
2011TL | 73,ZIJLSTRAAT 73,0
5211HP | 11,FONTEINSTRAAT 11,0
3511KK | 13,CHOORSTRAAT 13,0
8242PS | 222,BATAVIAPLEIN 222,0
8242PV | 264,BATAVIAPLEIN 264,0
5935BL | 4,SINT MICHAELSTRAAT 4,0
1102DR | 14,ANTON DE KOMPLEIN 14,0
3134KK | 5,SCHIEDAMSEDIJK 5,0
5232BZ | 20,REITSCHEWEG 20,0
1097DP | 7,MR TREUBLAAN 7,0
5144NC | 1,PROF ASSERWEG 1 A,0
3031AX | 106,JONKER FRANSSTRAAT 106 A,0
6811CV | 11,BOVENBEEKSTRAAT 11,0
5611JP | 1,HOOGSTRAAT 1,0
3311KA | 1,ACHTEROM 1,0
5709AC | 2,DELTAWEG 2,0
3012ER | 88,LIJNBAAN 88,0
4207HW | 4,EINSTEINSTRAAT 4,0
1132GG | 30,LOGGER 30,0
3198LR | 17,WOLGAWEG 17,0
8912AM | 41,CELSIUSWEG 41,0
8861NS | 25,KORTE LIJNBAAN 25,0
8445PL | 11,WOLFRAAMWEG 11,0
9246TL | 17,VAN HARINXMAWEG 17,0
8501XD | 8,PRODUKSJEWEI 8,0
8701XD | 14,SNEKERSTRAAT 14,0
9725EE | 93,PARKWEG 93,0
8935DG | 2,LEGEDYK 2,0
7954GH | 395,OUDE RIJKSWEG 395,0
9219VR | 24,MASTER INIAWEI 24,0
8606JW | 5,VOLTASTRAAT 5,0
9206AK | 23,DE ROEF 23,0
8932NX | 2,DE EENHOORN 2,0
8701XD | 2,SNEKERSTRAAT 2,0
4416PJ | 18,STATIONSWEG 18 A,0
9079KK | 20,KL DE VRIESSTRAAT 20,0
8601EN | 35,WESTERSINGEL 35,0
8937AA | 3,DE MERODESTRAAT 3,0
8938AA | 3,NEPTUNUSWEG 3,0
9044MN | 16,ALDDYK 16,0
9061AE | 12,RINIA VAN NAUTAWEG 12,0
8701XA | 11,SNEKERSTRAAT 11,0
8926LD | 38,STANIASTATE 38,0
8912AV | 34,ZWETTESTRAAT 34,0
8861KN | 3,KONINGSWEG 3,0
3439LM | 71,RINGWADE 71,0
9044MN | 18,ALDDYK 18,0
8938BB | 2,SIRIUSWEG 2,0
9206AD | 28,TUSSENDIEPEN 28,0
9045RG | 20,HOGERHUISDYK 20,0
8521MA | 17,SLOTWEG 17,0
1814CK | 57,NIEUWLANDERSINGEL 57,0
8447SL | 9,BUSINESSPARK FRIESLANDW 9,0
8911AX | 25,WILLEMSKADE 25,0
8444AB | 73,MARKTWEG 73 A,0
9853PC | 7,METHARDUSSTRAAT 7,0
8831XA | 43,KLEASTERDYK 43,0
8443CC | 16,AMELANDLAAN 16,0
9298JG | 123,FOARWEI 123,0
8932PA | 15,SIXMASTRAAT 15,0
9001XW | 3,DE FINNEN 3,0
9101PA | 7,HOLWERDERWEG 7,0
9206AA | 9,TUSSENDIEPEN 9,0
8561EL | 24,TJALKE DE BOERSTRJITTE 24,0
9262NR | 27,ACHTERWEI 27,0
8521NH | 2,DE RIJLST 2 0002,0
9114AG | 4,KOLKENSLOANE 4,0
9201CH | 126,DE LANGE WEST 126,0
8606JG | 9,PIETER ZEEMANSTRAAT 9,0
9076PM | 236,NIEUWEBILDTDIJK 236,0
9101RA | 2,BOCKSMEULEN 2,0
9074AG | 41,DONIAWEG 41,0
8606JR | 6,PIETER ZEEMANSTRAAT 6,0
8491PK | 5,IT PATROAN 5,0
8501VZ | 21,GROENHOF 21 A,0
9251HG | 49,WESTERSINGEL 49 A,0
8443DV | 57,TOLHUISWEG 57,0
8565HH | 23,BEUCKENSWIJKSTRAAT 23,0
8391MG | 3,DE STELLING 3,0
9231GR | 3,LAUWERSWEG 3,0
8442DJ | 65,KOORNBEURSWEG 65,0
9269RC | 3,DE SWETTE 3 A,0
9257WH | 16,TSJERKEPAED 16,0
8912AL | 3,SCHENKENSCHANS 3 A,0
9076PH | 26,HEMMEMAWEG 26,0
8441CM | 4,VAN MAASDIJKSTRAAT 4,0
8913CL | 30,WESTERSINGEL 30,0
8448GV | 69,DE OPSLACH 69,0
8442CZ | 2,THORBECKESTRAAT 2 A,0
8567HJ | 5,OUDE BALKSTERWEG 5,0
9001ZJ | 26,OEDSMAWEI 26,0
9262ND | 21,SOLCAMASTRAAT 21 B,0
8451KA | 45,SCHOTERLANDSEWEG 45,0
3016CL | 4,WESTERKADE 4 A,0
8561EX | 37,EIGEN HAARD 37,0
8938AB | 2,PLUTOWEG 2,0
9251BL | 23,NOORDERSINGEL 23,0
8917AL | 33,SPANJAARDSLAAN 33,0
8932NB | 73,SCHRANS 73,0
8912AB | 83,SNEKERTREKWEG 83,0
8601WT | 1,ZEILMAKERSSTRAAT 1,0
9254DD | 139,RIJKSSTRAATWEG 139 A,0
9105KT | 42,VAN AYLVAWEI 42,0
8911KW | 51,TWEEBAKSMARKT 51,0
8931EP | 73,NIJLANSDYK 73 NIJLÂNSTATE,0
9101PA | 25,HOLWERDERWEG 25,0
8916HH | 30,EUROPAPLEIN 30 S,0
8911AW | 1,WILLEMSKADE 1,0
8531AA | 28,LEMSTERPAD 28 B,0
8602CL | 7,PIM MULIERSTRAAT 7,0
9074AA | 7,LJOUWERTERDYK 7,0
9728JT | 300,LAAN CORPUS DEN HOORN 300,0
9251MP | 5,FLORYNWEI 5,0
8861XA | 2,HAVENPLEIN 2 A,0
3991AT | 23,KORTE SCHAFT 23 A,0
9291MC | 6,WILLEM LOREWEG 6,0
8501ZJ | 13,POLDERBOSKDYK 13 A,0
8801PN | 16,EDISONSTRAAT 16,0
9206AJ | 10,DE MEERPAAL 10,0
2134AB | 800,BENNEBROEKERWEG 800,0
8448CN | 2,NEPTUNUS 2,0
8491PA | 32,SPIKERBOOR 32,0
8912AT | 9,PASCALSTRAAT 9,0
8493LA | 6,KOAILAN 6,0
8447SN | 7,INNOVATIELAAN 7,0
9201CH | 96,DE LANGE WEST 96,0
9206AJ | 11,DE MEERPAAL 11,0
8581KG | 13,MARDYK 13,0
8471ZP | 9,DE MEENTHE 9 A,0
8912AW | 4,EDISONSTRAAT 4,0
8607AB | 9,SELFHELPWEG 9,0
8502BR | 42,SKROEF 42,0
9206AD | 20,TUSSENDIEPEN 20,0
8911AW | 7,WILLEMSKADE 7,0
9108LC | 1,WESTERLOANE 1,0
8606JP | 23,LORENTZSTRAAT 23,0
8525EP | 9,BREDYK 9,0
8916CM | 51,MR PJ TROELSTRAWEG 51,0
9723BK | 125,OSLOWEG 125,0
8861VH | 2,INDUSTRIEWEG 2,0
8517HH | 62,HOLLANDIASTRAAT 62,0
3734GG | 7,PADUAWEG 7 A,0
8606VP | 2,ALEXANDERSTRAAT 2,0
8801JW | 8,OOSTELIJKE INDUSTRIEWEG 8,0
8801PP | 44,FRISIA 44,0
8401DP | 22,STATIONSWEG 22,0
9011WJ | 11,WJITTERINGSWEI 11,0
8911CA | 1,OUDE DOELESTEEG 1,0
9203CJ | 1,ZUIDKADE 1,0
8501ZJ | 13,POLDERBOSKDYK 13 B,0
9105KT | 40,VAN AYLVAWEI 40,0
9161AK | 16,BURENLAAN 16,0
9003LA | 12,MIDSBUORREN 12,0
8921VM | 61,SWAMMERDAMSTRAAT 61,0
8938BG | 28,CERESWEG 28,0
8801PX | 8,HITZUMERWEG 8,0
1072AH | 27,RUYSDAELKADE 27 2,0
8531PA | 7,INDUSTRIEWEG 7,0
8439SR | 9,TILGRUPWEG 9,0
9257DS | 63,RIJKSSTRAATWEG 63 A,0
8566JD | 37,HOITEBUORREN 37,0
9061AE | 2,RINIA VAN NAUTAWEG 2 C,0
9251BN | 28,NOORDERSINGEL 28,0
1011DK | 80,OOSTERDOKSSTRAAT 80,0
8938BG | 20,CERESWEG 20 B,0
8517HN | 2,SCHARREN 2,0
8606JP | 27,LORENTZSTRAAT 27,0
8917HB | 17,HUMILITASSTRAAT 17,0
9262NC | 4,DAMSINGEL 4 6 12,0
8912AZ | 6,LORENTZKADE 6,0
9074CK | 24,MOUNEBUORREN 24 32,0
2719DX | 3,RONTGENLAAN 3,0
8565HH | 60,BEUCKENSWIJKSTRAAT 60,0
9843HA | 13,KIEVITSWEG 13,0
9203KP | 140,BURGEMEESTER WUITEWEG 140 B,0
9781CK | 56,STATIONSWEG 56,0
7958RW | 12,WEERWILLEWEG 12,0
8501AB | 1,DOUWE EGBERTS PLEIN 1,0
9047KJ | 4,TILLEDYK 4,0
9203ZW | 81,MOLENEIND ZZ 81,0
8531XD | 4,KADIJK 4,0
9351VA | 22,ZERNIKELAAN 22,0
9207HC | 2,DOPPLERLAAN 2,0
8765LP | 6,WALTAWEG 6,0
8431NG | 4,PLOEGGANG 4,0
8606JH | 3,EDISONSTRAAT 3,0
9247CX | 28,DE GILDEN 28,0
9101PA | 23,HOLWERDERWEG 23,0
1183KS | 1,DE ROOS VAN DEKAMA 1,0
8601WB | 6,SMIDSSTRAAT 6,0
8917AR | 127,SPANJAARDSLAAN 127,0
8861NA | 17,EDISONSTRAAT 17,0
8939BZ | 7,HIMPENSERDYK 7,0
8574TG | 1,DE BURDE 1,0
8444DC | 9,DE KUINDER 9,0
8334RS | 105,TUKSEWEG 105,0
9233LT | 10,DE FJOUWER ROEDEN 10,0
8602CP | 8,BOOMKENSDIEP 8,0
2282DA | 18,MALLEGAT 18,0
9263PL | 31,GREATE BUORREN 31 A,0
8911AW | 3,WILLEMSKADE 3,0
9407PE | 8,RIKLANDEN 8,0
8938BA | 1,HIDALGOWEG 1,0
9251GA | 18,MR W M OPPEDK VAN VEENWG 18,0
9206AM | 1,DE BOLDER 1,0
9051VG | 3,SEEASTER 3,0
9207JR | 2,OTTOLAAN 2,0
9206BB | 9,DE BOEG 9,0
9263PA | 1,EASTEREIN 1,0
8701XC | 43,SNEKERSTRAAT 43,0
9206AK | 7,DE ROEF 7 A,0
8601WD | 4,STEENHOUWERSSTRAAT 4,0
9251TG | 120,TUORREBOUT 120,0
