company_adddress,city
6827BR | 16,ARNHEM
6998AW | 2,LAAGKEPPEL
6716AH | 3,EDE GLD
6741HL | 1,LUNTEREN
7021KN | 85,ZELHEM
7559SC | 202,HENGELO OV
6713HR | 37,EDE GLD
6716AB | 28,EDE GLD
6827BW | 22,ARNHEM
6744XA | 5,EDERVEEN
7008AR | 20,DOETINCHEM
6851GH | 19,HUISSEN
6814DH | 52,ARNHEM
6512AP | 6,NIJMEGEN
6942WE | 29,DIDAM
6604BV | 20,WIJCHEN
4001AG | 3,TIEL
6712GD | 36,EDE GLD
6741DJ | 21,LUNTEREN
1043AG | 6,AMSTERDAM
7091HB | 48,DINXPERLO
7001JD | 47,DOETINCHEM
6922EP | 294,DUIVEN
3771PD | 56,BARNEVELD
7122PV | 24,AALTEN
6741LT | 10,LUNTEREN
6814CD | 53,ARNHEM
1071DC | 9,AMSTERDAM
6902KG | 10,ZEVENAAR
6666AN | 19,HETEREN
6662WB | 19,ELST GLD
3817CH | 10,AMERSFOORT
3818LA | 11,AMERSFOORT
7101AH | 13,WINTERSWIJK
3711BW | 5,AUSTERLITZ
6921RE | 31,DUIVEN
6862AZ | 220,OOSTERBEEK
3821AD | 10,AMERSFOORT
6811JZ | 120,ARNHEM
7021BL | 14,ZELHEM
6241NN | 4,BUNDE
6718XR | 20,EDE GLD
6905DL | 2,ZEVENAAR
1016EC | 267,AMSTERDAM
6662PP | 20,ELST GLD
6705BM | 21,WAGENINGEN
6733AN | 74,WEKEROM
1071ZV | 114,AMSTERDAM
3911TD | 11,RHENEN
6833HM | 49,ARNHEM
7071CK | 1,ULFT
7122LB | 10,AALTEN
6824HC | 79,ARNHEM
7007GE | 19,DOETINCHEM
6921RW | 33,DUIVEN
3356LX | 32,PAPENDRECHT
6891AC | 51,ROZENDAAL
6921RL | 10,DUIVEN
7001BS | 3,DOETINCHEM
7008AR | 34,DOETINCHEM
6681RA | 3,BEMMEL
6825ME | MissingValue,ARNHEM
7041GA | 16,SHEERENBERG
6515AA | 37,NIJMEGEN
6703CT | 4,WAGENINGEN
6942EN | 8,DIDAM
7006RB | 65,DOETINCHEM
6661NK | 34,ELST GLD
3251ND | 1,STELLENDAM
6881WN | 1,VELP GLD
7051CM | 54,VARSSEVELD
5175AD | 42,LOON OP ZAND
6721WV | 30,BENNEKOM
6662NK | 75,ELST GLD
1261DP | 2,BLARICUM
6983BR | 45,DOESBURG
6861DE | 41,OOSTERBEEK
6662WD | 9,ELST GLD
6571CD | 14,BERG EN DAL
3881LK | 9,PUTTEN
1251GD | 33,LAREN NH
6811AD | 295,ARNHEM
1454AV | 30,WATERGANG
7091ZZ | 2,DINXPERLO
6921RC | 25,DUIVEN
6665LL | 15,DRIEL
6662NE | 28,ELST GLD
6718ZC | 4,EDE GLD
3902HP | 3,VEENENDAAL
6951KN | 11,DIEREN
2595ET | 4,SGRAVENHAGE
6865DA | 3,DOORWERTH
7055BN | 10,HEELWEG
5038KE | 236,TILBURG
7041AS | 6,SHEERENBERG
6825ME | 601,ARNHEM
6942SE | 3,DIDAM
7009AC | 126,DOETINCHEM
6917AB | 2,SPIJK GEM ZEVENAAR
6731AH | 6,OTTERLO
1273NA | 27,HUIZEN
6721WE | 36,BENNEKOM
3941PP | 2,DOORN
5056JH | 8,BERKELENSCHOT
3773CX | 33,BARNEVELD
7122LB | 8,AALTEN
3905PG | 16,VEENENDAAL
6851EJ | 19,HUISSEN
3454PE | 32,DE MEERN
6916CB | 58,TOLKAMER
3542AW | 17,UTRECHT
6716AD | 8,EDE GLD
3925LJ | 2,SCHERPENZEEL GLD
3925LC | 135,SCHERPENZEEL GLD
6825MH | 901,ARNHEM
1082MS | 97,AMSTERDAM
5841AE | 23,OPLOO
6824BC | 13,ARNHEM
6662PK | 17,ELST GLD
3906DD | 169,VEENENDAAL
6711CL | 4,EDE GLD
6865GW | 11,DOORWERTH
1017EL | 544,AMSTERDAM
3771VL | 8,BARNEVELD
6833KA | 27,ARNHEM
7021LZ | 10,ZELHEM
1786PC | 15,DEN HELDER
3925LW | 1,SCHERPENZEEL GLD
7031GG | 1,WEHL
6525AJ | 121,NIJMEGEN
6871TW | 4,RENKUM
6717LL | 41,EDE GLD
2801SC | 1,GOUDA
6851CB | 33,HUISSEN
5242AC | 5,ROSMALEN
5145RK | 7,WAALWIJK
3065WC | 100,ROTTERDAM
6827AB | 15,ARNHEM
3981AZ | 9,BUNNIK
6827BN | 22,ARNHEM
2142EN | 31,CRUQUIUS
1412JL | 78,NAARDEN
1082MK | 1025,AMSTERDAM
1077XX | 1353,AMSTERDAM
1175RN | 5,LIJNDEN
6828KT | 102,ARNHEM
6811EN | 10,ARNHEM
7122MN | 13,AALTEN
6882NE | 2,VELP GLD
6741ZP | 41,LUNTEREN
6921RE | 12,DUIVEN
6931BA | 11,WESTERVOORT
6921RE | 43,DUIVEN
3356LJ | 6,PAPENDRECHT
6862EM | 34,OOSTERBEEK
1906EC | 9,LIMMEN
2131AR | 135,HOOFDDORP
6534AM | 5,NIJMEGEN
6902PA | 32,ZEVENAAR
7038EN | 36,ZEDDAM
4811ET | 64,BREDA
6997AN | 59,HOOGKEPPEL
6702DT | 14,WAGENINGEN
7008BN | 160,DOETINCHEM
6861WK | 14,OOSTERBEEK
3034PH | 35,ROTTERDAM
6718VD | 10,EDE GLD
6991VA | 9,RHEDEN
6903TE | 22,ZEVENAAR
6921GW | 10,DUIVEN
6717HK | 50,EDE GLD
7038EP | 17,ZEDDAM
6955BA | 14,ELLECOM
6881NT | 8,VELP GLD
6537TL | 20,NIJMEGEN
1118CZ | 354,SCHIPHOL
5089NT | 7,HAGHORST
6921EW | 13,DUIVEN
7001AB | 87,DOETINCHEM
2514BB | 14,SGRAVENHAGE
6816RR | 203,ARNHEM
6921RZ | 79,DUIVEN
6718TB | 90,EDE GLD
3769DN | 1,SOESTERBERG
7051GZ | 3,VARSSEVELD
6942HG | 66,DIDAM
1976DC | 76,IJMUIDEN
6871NC | 20,RENKUM
3771SE | 225,BARNEVELD
5249JX | 5,ROSMALEN
6511NT | 8,NIJMEGEN
6815AD | 55,ARNHEM
6913KH | 11,AERDT
7122AB | 28,AALTEN
3772MN | 10,BARNEVELD
7001BM | 13,DOETINCHEM
3528BP | 40,UTRECHT
6718ZN | 19,EDE GLD
6827BD | 10,ARNHEM
3911AV | 111,RHENEN
6716BX | 17,EDE GLD
6811KS | 20,ARNHEM
6851AJ | 4,HUISSEN
7071ED | 15,ULFT
3234KG | 6,TINTE
1096AJ | 87,AMSTERDAM
3905NW | 5,VEENENDAAL
3907KX | 22,VEENENDAAL
6598BL | 18,HEIJEN
6921RZ | 60,DUIVEN
6827BX | 23,ARNHEM
5047RE | 11,TILBURG
4261AH | 179,WIJK EN AALBURG
6711DD | 43,EDE GLD
7083AS | 2,VOORST OUDE IJSSELSTREEK
7122MP | 1,AALTEN
6662NV | 7,ELST GLD
6871BH | 53,RENKUM
7071PR | 3,ULFT
6731AH | 12,OTTERLO
7081AE | 2,GENDRINGEN
3905PG | 22,VEENENDAAL
5613BH | 58,EINDHOVEN
2611CD | 56,DELFT
6812AA | 129,ARNHEM
6813GG | 5,ARNHEM
6814LL | 48,ARNHEM
7071AA | 7,ULFT
3763LV | 12,SOEST
2132LS | 111,HOOFDDORP
6942GJ | 10,DIDAM
3772MN | 42,BARNEVELD
6991AM | 10,RHEDEN
6871CD | 18,RENKUM
2244AZ | 1,WASSENAAR
6666LR | 11,HETEREN
3771DA | 21,BARNEVELD
3927AV | 4,RENSWOUDE
3743BL | 4,BAARN
3703CK | 1,ZEIST
6711JC | 2,EDE GLD
6811BL | 44,ARNHEM
1075BL | 7,AMSTERDAM
1077AS | 171,AMSTERDAM
7037CB | 33,BEEK GEM MONTFERLAND
7122LN | 4,AALTEN
3992AE | 12,HOUTEN
6921BL | 9,DUIVEN
6211GZ | 1,MAASTRICHT
6828DV | 75,ARNHEM
6721AR | 43,BENNEKOM
4879ND | 35,ETTENLEUR
4033EN | 6,LIENDEN
7051WP | 5,VARSSEVELD
6745WB | 2,DE KLOMP
6718HD | 4,EDE GLD
6941RB | 16,DIDAM
6705BP | 35,WAGENINGEN
7005GD | 372,DOETINCHEM
3165AL | 2,ROTTERDAMALBRANDSWAARD
6961EN | 6,EERBEEK
7122MS | 26,AALTEN
1014BA | 37,AMSTERDAM
6826CC | 31,ARNHEM
2041HD | 2,ZANDVOORT
5831AN | 35,BOXMEER
6845BH | 40,ARNHEM
6956AW | 4,SPANKEREN
7021BN | 56,ZELHEM
6731AA | 11,OTTERLO
1394JD | 18,NEDERHORST DEN BERG
5151DR | 4,DRUNEN
7121ET | 14,AALTEN
2595AM | 33,SGRAVENHAGE
3951CZ | 18,MAARN
6909DA | 11,BABBERICH
7081DK | 4,GENDRINGEN
7061CN | 13,TERBORG
5591HC | 11,HEEZE
7021CL | 28,ZELHEM
6814KV | 11,ARNHEM
6814BA | 12,ARNHEM
6716BM | 35,EDE GLD
6902PH | 12,ZEVENAAR
7064AC | 4,SILVOLDE
6662WE | 9,ELST GLD
6715CT | 3,EDE GLD
6812DB | 15,ARNHEM
6711BD | 24,EDE GLD
6814DK | 5,ARNHEM
6811HC | 61,ARNHEM
6673DB | 17,ANDELST
6903PZ | 32,ZEVENAAR
6825BS | 3,ARNHEM
5928LM | 4,VENLO
7071ED | 10,ULFT
6716BR | 38,EDE GLD
1135WH | 6,EDAM
6521EH | 29,NIJMEGEN
6732ET | 2,HARSKAMP
3526KV | 200,UTRECHT
2718RC | 40,ZOETERMEER
3901RS | 25,VEENENDAAL
5026RM | 21,TILBURG
4941SK | 7,RAAMSDONKSVEER
1102BR | 8,AMSTERDAM
4323TC | 4,ELLEMEET
7006AS | 12,DOETINCHEM
3316LC | 600,DORDRECHT
6812BG | 36,ARNHEM
6816RR | 227,ARNHEM
3886PJ | 15,GARDEREN
6534AD | 13,NIJMEGEN
6731SL | 81,OTTERLO
6851DR | 18,HUISSEN
6708PB | 4,WAGENINGEN
6921PW | 4,DUIVEN
7039CV | 17,STOKKUM
5708JZ | 59,HELMOND
6523NZ | 96,NIJMEGEN
6631AR | 65,HORSSEN
4033AA | 6,LIENDEN
6721VN | 23,BENNEKOM
5583VB | 32,WAALRE
6998AZ | 5,LAAGKEPPEL
7255NR | 49,HENGELO GLD
6709PD | 5,WAGENINGEN
6883JP | 4,VELP GLD
5464RA | 15,VEGHEL
7102DH | 100,WINTERSWIJK
6708WG | 9,WAGENINGEN
6811EL | 6,ARNHEM
4004LM | 11,TIEL
6718WS | 8,EDE GLD
6987CS | 112,GIESBEEK
6811HZ | 87,ARNHEM
6883DB | 3,VELP GLD
1101BA | 7,AMSTERDAM
6291BJ | 86,VAALS
6916AC | 6,TOLKAMER
6921EX | 1,DUIVEN
6931HE | 100,WESTERVOORT
6712GJ | 34,EDE GLD
7256KW | 9,KEIJENBORG
6824BJ | 26,ARNHEM
6824GP | 49,ARNHEM
6716AE | 1,EDE GLD
7418BE | 5,DEVENTER
1017JV | 699,AMSTERDAM
8219CG | 2,LELYSTAD
6524AK | 4,NIJMEGEN
7005BL | 27,DOETINCHEM
6744PB | 40,EDERVEEN
3642BJ | 6,MIJDRECHT
6861EJ | 44,OOSTERBEEK
6733AN | 50,WEKEROM
6662NX | 2,ELST GLD
6816RP | 139,ARNHEM
6541CX | 44,NIJMEGEN
6718TB | 84,EDE GLD
6711PD | 10,EDE GLD
5222AR | 32,SHERTOGENBOSCH
6662PE | 73,ELST GLD
7352TB | 65,HOENDERLOO
7418AB | 1,DEVENTER
2061JR | 135,BLOEMENDAAL
6826TN | 34,ARNHEM
6641AB | 79,BEUNINGEN GLD
6511XR | 100,NIJMEGEN
1083HJ | 7,AMSTERDAM
6716BX | 49,EDE GLD
5258TC | 16,BERLICUM NB
7021LV | 24,ZELHEM
6604EA | 1010,WIJCHEN
3527HS | 9,UTRECHT
6902PB | 7,ZEVENAAR
7041GW | 13,SHEERENBERG
6708PV | 85,WAGENINGEN
6681CW | 39,BEMMEL
6881NK | 358,VELP GLD
7311AN | 3,APELDOORN
6681LN | 48,BEMMEL
6836BA | 52,ARNHEM
7071PW | 5,ULFT
6532AJ | 1,NIJMEGEN
3584AA | 80,UTRECHT
6573AH | 8,BEEKUBBERGEN
6522AX | 101,NIJMEGEN
6604CE | 457,WIJCHEN
5651CA | 31,EINDHOVEN
4701PB | 41,ROOSENDAAL
6602HG | 84,WIJCHEN
6916BG | 2,TOLKAMER
7071PC | 17,ULFT
5613LE | 5,EINDHOVEN
7141DL | 13,GROENLO
7126CD | 6,BREDEVOORT
6584AH | 10,MOLENHOEK LB
7105CC | 127,WINTERSWIJK HUPPEL
6851AJ | 10,HUISSEN
6541BW | 2,NIJMEGEN
6541XK | 401,NIJMEGEN
6814BH | 35,ARNHEM
6862VT | 62,OOSTERBEEK
6921GX | 37,DUIVEN
5816AK | 6,VREDEPEEL
6921RT | 22,DUIVEN
7051DA | 2,VARSSEVELD
6733BZ | 1,WEKEROM
6604LK | 2401,WIJCHEN
6716RP | 10,EDE GLD
1118BJ | 359,SCHIPHOL
6521AW | 2,NIJMEGEN
6584AT | 61,MOLENHOEK
6663BN | 45,LENT
6663KV | 46,LENT
6716AR | 2,EDE GLD
6718XR | 2,EDE GLD
6662PE | 106,ELST GLD
3981LA | 35,BUNNIK
7091DC | 4,DINXPERLO
6511NC | 1,NIJMEGEN
5671GA | 1,NUENEN
5633AC | 238,EINDHOVEN
6541AH | 41,NIJMEGEN
5342ES | 8,OSS
6824BV | 205,ARNHEM
6524KZ | 20,NIJMEGEN
6708WH | 12,WAGENINGEN
7061AA | 17,TERBORG
6662BA | 16,ELST GLD
6691EK | 3,GENDT
6663BE | 139,LENT
6546EX | 1644,NIJMEGEN
9363LB | 1,MARUM
6986CK | 8,ANGERLO
7131PC | 22,LICHTENVOORDE
6718XR | 7,EDE GLD
3371NZ | 6,HARDINXVELDGIESSENDAM
6511RB | 49,NIJMEGEN
6744WE | 6,EDERVEEN
6871KA | 12,RENKUM
1406NJ | 86,BUSSUM
6546BG | 1330,NIJMEGEN
6941BZ | 52,DIDAM
6883JN | 5,VELP GLD
5403NA | 11,UDEN
6537TL | 8,NIJMEGEN
6603CW | 3,WIJCHEN
3047AC | 46,ROTTERDAM
5944EB | 40,ARCEN
1181VX | 16,AMSTELVEEN
6827BM | 9,ARNHEM
6881HG | 14,VELP GLD
6931EZ | 1,WESTERVOORT
6523NH | 89,NIJMEGEN
3063BR | 42,ROTTERDAM
6545MC | 1062,NIJMEGEN
6955BA | 12,ELLECOM
5211AK | 4,SHERTOGENBOSCH
1314CB | 33,ALMERE
6812CG | 28,ARNHEM
6828XC | 53,ARNHEM
6644CT | 58,EWIJK
6546BC | 1103,NIJMEGEN
6515AS | 1,NIJMEGEN
6921RL | 4,DUIVEN
7231LA | 31,WARNSVELD
3528BE | 855,UTRECHT
7078AR | 22,MEGCHELEN
6534AN | 8,NIJMEGEN
6717LT | 20,EDE GLD
3446HR | 11,WOERDEN
3521AZ | 4,UTRECHT
6562LZ | 3,GROESBEEK
6523PD | 210,NIJMEGEN
3543BN | 73,UTRECHT
6862BK | 7,OOSTERBEEK
3524BN | 106,UTRECHT
6811BB | 15,ARNHEM
6916BS | 23,TOLKAMER
7025AD | 2,HALLE
6718XA | 5,EDE GLD
6543JA | 31,NIJMEGEN
7001CE | 1,DOETINCHEM
6994AT | 14,DE STEEG
5431NS | 22,CUIJK
6666MK | 3,HETEREN
6604LV | 3130,WIJCHEN
6641TC | 15,BEUNINGEN GLD
6842CV | 5,ARNHEM
6811EX | 42,ARNHEM
7008BR | 226,DOETINCHEM
6641KW | 10,BEUNINGEN GLD
2313KE | 17,LEIDEN
3604BB | 2,MAARSSEN
6651CG | 1,DRUTEN
6522BE | 127,NIJMEGEN
6942SG | 7,DIDAM
3088HE | 3,ROTTERDAM
6541AG | 1,NIJMEGEN
3511BP | 125,UTRECHT
5223MB | 116,SHERTOGENBOSCH
6566CK | 26,MILLINGEN AAN DE RIJN
6662NX | 4,ELST GLD
6543NP | 5,NIJMEGEN
6524AV | 2,NIJMEGEN
5406XT | 18,UDEN
6827BX | 45,ARNHEM
6991ZR | 71,RHEDEN
3833GL | 65,LEUSDEN
6598AG | 21,HEIJEN
7051HT | 23,VARSSEVELD
6836BE | 21,ARNHEM
1082LZ | 815,AMSTERDAM
6604CV | 41,WIJCHEN
6662PX | 14,ELST GLD
6716AA | 19,EDE GLD
7051CN | 3,VARSSEVELD
6703BS | 30,WAGENINGEN
7005BK | 8,DOETINCHEM
3067KW | 298,ROTTERDAM
6811JL | 6,ARNHEM
6523LM | 379,NIJMEGEN
5405NB | 19,UDEN
1096BN | 4,AMSTERDAM
3981AJ | 50,BUNNIK
6546BB | 1013,NIJMEGEN
5617BC | 20,EINDHOVEN
6923AC | 37,GROESSEN
6871KA | 8,RENKUM
6662PW | 17,ELST GLD
6708PV | 1,WAGENINGEN
6642CH | 18,BEUNINGEN GLD
1861TE | 103,BERGEN NH
6942ME | 8,DIDAM
6546BG | 1307,NIJMEGEN
6604LL | 2416,WIJCHEN
6741NE | 13,LUNTEREN
6691GC | 57,GENDT
5346SL | 34,OSS
6545AC | 41,NIJMEGEN
6522BA | 27,NIJMEGEN
6522CC | 174,NIJMEGEN
7061AP | 115,TERBORG
6604CE | 473,WIJCHEN
8055PJ | 25,LAAG ZUTHEM
6641SZ | 8,BEUNINGEN GLD
6523EM | 44,NIJMEGEN
3016AE | 37,ROTTERDAM
6717LZ | 9,EDE GLD
6545CM | 22,NIJMEGEN
7031BW | 5,WEHL
6562JG | 15,GROESBEEK
6102BK | 56,ECHT
7001GM | 25,DOETINCHEM
6538SZ | 2,NIJMEGEN
3846CE | 31,HARDERWIJK
6983BP | 2,DOESBURG
6883JP | 8,VELP GLD
6542SW | 62,NIJMEGEN
6603KN | 18,WIJCHEN
7007CJ | 34,DOETINCHEM
6645KA | 61,WINSSEN
6511NH | 32,NIJMEGEN
6716AK | 3,EDE GLD
3723BG | 1,BILTHOVEN
6921VB | 16,DUIVEN
3818JN | 35,AMERSFOORT
7102DH | 98,WINTERSWIJK
6602AX | 61,WIJCHEN
7061GE | 17,TERBORG
6811DG | 38,ARNHEM
7001KG | 150,DOETINCHEM
6987ER | 2,GIESBEEK
4131NR | 18,VIANEN UT
7007CB | 69,DOETINCHEM
2661DD | 58,BERGSCHENHOEK
6716BG | 11,EDE GLD
6582AG | 9,HEUMEN
6882MK | 63,VELP
2801SJ | 2,GOUDA
6538SG | 9061,NIJMEGEN
6811LM | 2,ARNHEM
6644CT | 40,EWIJK
3261ND | 2,OUDBEIJERLAND
6538JK | 3208,NIJMEGEN
1261SZ | 12,BLARICUM
6602XX | 7606,WIJCHEN
6828WE | 8,ARNHEM
6511SM | 1,NIJMEGEN
6942SE | 11,DIDAM
6711AH | 23,EDE GLD
6942KS | 25,DIDAM
7316AC | 6,APELDOORN
5512PA | 4,VESSEM
6851AJ | 2,HUISSEN
7007CM | 6,DOETINCHEM
6718TK | 23,EDE GLD
4708AJ | 147,ROOSENDAAL
7006RW | 84,DOETINCHEM
7255PT | 20,HENGELO GLD
6741KC | 58,LUNTEREN
6921VA | 1,DUIVEN
6541CZ | 100,NIJMEGEN
3115JG | 2,SCHIEDAM
6562KX | 41,GROESBEEK
7141NR | 14,GROENLO
6711PJ | 27,EDE GLD
6874BE | 2,WOLFHEZE
6674BX | 27,HERVELD
3911JR | 34,RHENEN
6573DB | 96,BEEKUBBERGEN
6708NA | 25,WAGENINGEN
2015KV | 4,HAARLEM
6921RZ | 50,DUIVEN
5349AB | 9,OSS
6814CK | 8,ARNHEM
7102AN | 1,WINTERSWIJK
7141JW | 20,GROENLO
2311XH | 12,LEIDEN
2969BM | 46,OUDALBLAS
6605WH | 2413,WIJCHEN
6814DA | 27,ARNHEM
6546BB | 1057,NIJMEGEN
6603BM | 193,WIJCHEN
6525HR | 3,NIJMEGEN
7091BV | 5,DINXPERLO
1075EC | 136,AMSTERDAM
6718TK | 17,EDE GLD
1411DD | 8,NAARDEN
6957DH | 4,LAAGSOEREN
6701DM | 1,WAGENINGEN
2132PZ | 388,HOOFDDORP
6642EK | 13,BEUNINGEN GLD
6862WV | 15,OOSTERBEEK
7051HW | 1,VARSSEVELD
6709PA | 7,WAGENINGEN
7005BA | 30,DOETINCHEM
6641KE | 8,BEUNINGEN GLD
7005AG | 1,DOETINCHEM
6681DW | 40,BEMMEL
6851MZ | 72,HUISSEN
6711NX | 37,EDE GLD
2352DM | 13,LEIDERDORP
7121DA | 6,AALTEN
6721LB | 70,BENNEKOM
5431BV | 3,CUIJK
3432GH | 2,NIEUWEGEIN
6538SX | 132,NIJMEGEN
6511PN | 16,NIJMEGEN
7006GE | 26,DOETINCHEM
7004GM | 49,DOETINCHEM
6524EG | 55,NIJMEGEN
6891CE | 12,ROZENDAAL
4617JP | 25,BERGEN OP ZOOM
3751ET | 106,BUNSCHOTENSPAKENBURG
7041DS | 100,SHEERENBERG
6827BX | 51,ARNHEM
7078AR | 20,MEGCHELEN
4818AA | 3,BREDA
5633AC | 228,EINDHOVEN
7007CD | 20,DOETINCHEM
7141JE | 35,GROENLO
6851MZ | 58,HUISSEN
6602DC | 51,WIJCHEN
3381KT | 57,GIESSENBURG
4191NZ | 33,GELDERMALSEN
6814BA | 4,ARNHEM
8448CS | 42,HEERENVEEN
6541CM | 60,NIJMEGEN
6641LH | 21,BEUNINGEN GLD
6828JH | 14,ARNHEM
2751DL | 32,MOERKAPELLE
6221BK | 58,MAASTRICHT
1437EL | 1,ROZENBURG NH
7255CH | 13,HENGELO GLD
6666MK | 1,HETEREN
6733BZ | 26,WEKEROM
6851EH | 35,HUISSEN
1057PH | 410,AMSTERDAM
6718SM | 142,EDE GLD
6824PH | 64,ARNHEM
6602WE | 2614,WIJCHEN
6827AR | 5,ARNHEM
6705AK | 13,WAGENINGEN
6846XM | 24,ARNHEM
1311XA | 1,ALMERE
6811KS | 12,ARNHEM
3015CG | 18,ROTTERDAM
6525ED | 9,NIJMEGEN
6604LL | 2420,WIJCHEN
7101PA | 6,WINTERSWIJK
5342AT | 2,OSS
3927CJ | 8,RENSWOUDE
5211EH | 77,SHERTOGENBOSCH
6717LL | 43,EDE GLD
3067PJ | 76,ROTTERDAM
6824BZ | 1,ARNHEM
5657DD | 154,EINDHOVEN
7534AM | 710,ENSCHEDE
6891CJ | 13,ROZENDAAL
6703CD | 12,WAGENINGEN
6708PW | 10,WAGENINGEN
5708HN | 5,HELMOND
6603BN | 273,WIJCHEN
6825ME | 651,ARNHEM
6661EK | 14,ELST GLD
7054BP | 5,WESTENDORP
7009AZ | 58,DOETINCHEM
7021BW | 38,ZELHEM
8211AS | 8,LELYSTAD
3144ED | 3,MAASSLUIS
7131TG | 5,LICHTENVOORDE
6662PV | 12,ELST GLD
6661JZ | 5,ELST GLD
5066GE | 39,MOERGESTEL
7091KA | 16,DINXPERLO
6711NH | 6,EDE GLD
1135GM | 4,EDAM
7009BK | 9,DOETINCHEM
6716BX | 27,EDE GLD
6611AM | 3,OVERASSELT
7005AV | 1,DOETINCHEM
6814CT | 17,ARNHEM
7037AZ | 76,BEEK GEM MONTFERLAND
6525EC | 300,NIJMEGEN
5431SP | 21,CUIJK
6525PM | 327,NIJMEGEN
6741JL | 5,LUNTEREN
6546BB | 1031,NIJMEGEN
7021CL | 42,ZELHEM
7122LG | 5,AALTEN
7071BR | 5,ULFT
6814HJ | 28,ARNHEM
6546AS | 1108,NIJMEGEN
4708NN | 29,ROOSENDAAL
6942SG | 2,DIDAM
7002MZ | 11,DOETINCHEM
7091HR | 32,DINXPERLO
6716BP | 23,EDE GLD
6561KE | 29,GROESBEEK
7468EL | 36,ENTER
7141HE | 44,GROENLO
6521JT | 82,NIJMEGEN
6997AW | 16,HOOGKEPPEL
6601DC | 40,WIJCHEN
2675LX | 440,HONSELERSDIJK
3738JL | 153,MAARTENSDIJK
2514JS | 2,SGRAVENHAGE
6536AM | 6150,NIJMEGEN
6845AV | 13,ARNHEM
6511TV | 2,NIJMEGEN
1087HW | 430,AMSTERDAM
3755CP | 12,EEMNES
6222PH | 66,MAASTRICHT
6604LM | 2525,WIJCHEN
6828CV | 12,ARNHEM
7418EN | 16,DEVENTER
6883ES | 30,VELP GLD
6717LM | 1,EDE
6574NA | 3,UBBERGEN
6711PL | 75,EDE GLD
7064AP | 20,SILVOLDE
6662NH | 12,ELST GLD
6825AE | 3,ARNHEM
6836VH | 89,ARNHEM
5361BX | 6,GRAVE
6702DK | 37,WAGENINGEN
6691HN | 23,GENDT
6681LN | 75,BEMMEL
2517KH | 4,SGRAVENHAGE
6744PC | 3,EDERVEEN
6931SG | 1,WESTERVOORT
1183AT | 7,AMSTELVEEN
6851EJ | 21,HUISSEN
6524TR | 53,NIJMEGEN
6684DJ | 1,RESSEN
6546BE | 1236,NIJMEGEN
7102DG | 30,WINTERSWIJK
3882TS | 37,PUTTEN
6673DP | 14,ANDELST
6546AR | 1101,NIJMEGEN
6641TL | 18,BEUNINGEN GLD
3903LV | 13,VEENENDAAL
6538SW | 101,NIJMEGEN
6842CW | 10,ARNHEM
7004GN | 101,DOETINCHEM
6716BM | 30,EDE GLD
7006RE | 92,DOETINCHEM
7141DL | 5,GROENLO
2952BG | 44,ALBLASSERDAM
3016GM | 11,ROTTERDAM
6662NB | 94,ELST GLD
6811AA | 5,ARNHEM
4181CE | 15,WAARDENBURG
6721BB | 15,BENNEKOM
7101BN | 1,WINTERSWIJK
6524TZ | 8,NIJMEGEN
5804CL | 22,VENRAY
7101DE | 39,WINTERSWIJK
7109BC | 6,WINTERSWIJK MISTE
6581JB | 58,MALDEN
7021KX | 4,ZELHEM
6533BD | 56,NIJMEGEN
6716AA | 114,EDE GLD
3907KW | 10,VEENENDAAL
7552CV | 307,HENGELO OV
3905NK | 8,VEENENDAAL
3059LE | 15,ROTTERDAM
6604EA | 1020,WIJCHEN
6574AS | 16,UBBERGEN
6862BK | 13,OOSTERBEEK
6713PL | 49,EDE GLD
6691EJ | 25,GENDT
6537AP | 3308,NIJMEGEN
7104BB | 41,WINTERSWIJK MEDDO
3904JX | 28,VEENENDAAL
6581TE | 4,MALDEN
6021PN | 11,BUDEL
7005BC | 106,DOETINCHEM
7071PP | 2,ULFT
6534AB | 52,NIJMEGEN
6903TA | 53,ZEVENAAR
6666MN | 22,HETEREN
6574AA | 29,UBBERGEN
6703BH | 9,WAGENINGEN
7006TN | 11,DOETINCHEM
6604LG | 2104,WIJCHEN
6524CL | 23,NIJMEGEN
6041LE | 13,ROERMOND
6721GS | 14,BENNEKOM
6351CL | 46,BOCHOLTZ
3705GK | 1,ZEIST
6827AA | 4,ARNHEM
4051CP | 10,OCHTEN
7009ZB | 11,DOETINCHEM
6702DA | 77,WAGENINGEN
6824HK | 139,ARNHEM
6717KV | 98,EDE GLD
6585KP | 51,MOOK
6522BA | 47,NIJMEGEN
7007CL | 17,DOETINCHEM
6741BH | 48,LUNTEREN
6673DN | 4,ANDELST
6691EZ | 20,GENDT
3941ZX | 50,DOORN
6871BP | 3,RENKUM
3062ME | 30,ROTTERDAM
7609RD | 11,ALMELO
7005BN | 50,DOETINCHEM
8305BK | 40,EMMELOORD
3772MP | 89,BARNEVELD
6525GZ | 234,NIJMEGEN
6524BA | 77,NIJMEGEN
6883JN | 25,VELP
6522BD | 105,NIJMEGEN
1012HM | 33,AMSTERDAM
6545AG | 76,NIJMEGEN
6662VR | 30,ELST GLD
6827AV | 71,ARNHEM
6546BB | 1015,NIJMEGEN
6827AT | 60,ARNHEM
6532SZ | 108,NIJMEGEN
6881LD | 34,VELP GLD
6546BE | 1238,NIJMEGEN
6717LL | 41,EDE
6718XA | 2,EDE GLD
