company_adddress,city
8606JG | 9,SNEEK
9101RA | 2,DOKKUM
8606JR | 6,SNEEK
8491PK | 5,AKKRUM
8443DV | 57,HEERENVEEN
8391MG | 3,NOORDWOLDE FR
9231GR | 3,SURHUISTERVEEN
8442DJ | 65,HEERENVEEN
9269RC | 3,FEANWALDEN
9257WH | 16,NOARDBURGUM
9076PH | 26,STANNAPAROCHIE
8441CM | 4,HEERENVEEN
8913CL | 30,LEEUWARDEN
8448GV | 69,HEERENVEEN
9001ZJ | 26,GROU
9262ND | 21,SUMAR
8451KA | 45,OUDESCHOOT
3016CL | 4,ROTTERDAM
8561EX | 37,BALK
8938AB | 2,LEEUWARDEN
9251BL | 23,BURGUM
8917AL | 33,LEEUWARDEN
8932NB | 73,LEEUWARDEN
8912AB | 83,LEEUWARDEN
8601WT | 1,SNEEK
9254DD | 139,HURDEGARYP
9105KT | 42,RINSUMAGEAST
8911KW | 51,LEEUWARDEN
9101PA | 25,DOKKUM
8916HH | 30,LEEUWARDEN
8911AW | 1,LEEUWARDEN
8531AA | 28,LEMMER
9728JT | 300,GRONINGEN
9251MP | 5,BURGUM
8861XA | 2,HARLINGEN
3991AT | 23,HOUTEN
9291MC | 6,KOLLUM
8501ZJ | 13,JOURE
9206AJ | 10,DRACHTEN
2134AB | 800,HOOFDDORP
8491PA | 32,AKKRUM
8912AT | 9,LEEUWARDEN
8493LA | 6,TERHERNE
9201CH | 96,DRACHTEN
9206AJ | 11,DRACHTEN
8581KG | 13,ELAHUIZEN
8912AW | 4,LEEUWARDEN
8607AB | 9,SNEEK
8502BR | 42,JOURE
9206AD | 20,DRACHTEN
8911AW | 7,LEEUWARDEN
9108LC | 1,BROEKSTERWALD
8606JP | 23,SNEEK
8525EP | 9,LANGWEER
8916CM | 51,LEEUWARDEN
9723BK | 125,GRONINGEN
8861VH | 2,HARLINGEN
3734GG | 7,DEN DOLDER
8606VP | 2,SNEEK
8801JW | 8,FRANEKER
8801PP | 44,FRANEKER
9011WJ | 11,JIRNSUM
9203CJ | 1,DRACHTEN
9105KT | 40,RINSUMAGEAST
9161AK | 16,HOLLUM
9003LA | 12,WARTEN
8921VM | 61,LEEUWARDEN
8801PX | 8,FRANEKER
1072AH | 27,AMSTERDAM
9257DS | 63,NOARDBURGUM
8566JD | 37,NIJEMIRDUM
9061AE | 2,GYTSJERK
1011DK | 80,AMSTERDAM
8938BG | 20,LEEUWARDEN
8517HN | 2,SCHARSTERBRUG
9262NC | 4,SUMAR
9074CK | 24,HALLUM
2719DX | 3,ZOETERMEER
8565HH | 60,SONDEL
9843HA | 13,GRIJPSKERK
9203KP | 140,DRACHTEN
9047KJ | 4,MINNERTSGA
8531XD | 4,LEMMER
9351VA | 22,LEEK
8765LP | 6,TJERKWERD
8606JH | 3,SNEEK
9247CX | 28,URETERP
1183KS | 1,AMSTELVEEN
8861NA | 17,HARLINGEN
8939BZ | 7,LEEUWARDEN
8444DC | 9,HEERENVEEN
8334RS | 105,TUK
9233LT | 10,BOELENSLAAN
8602CP | 8,SNEEK
2282DA | 18,RIJSWIJK ZH
8911AW | 3,LEEUWARDEN
8938BA | 1,LEEUWARDEN
9206AM | 1,DRACHTEN
9207JR | 2,DRACHTEN
9206BB | 9,DRACHTEN
8701XC | 43,BOLSWARD
9206AK | 7,DRACHTEN
9251TG | 120,BURGUM
8574SB | 7,BAKHUIZEN
8531PM | 10,LEMMER
1261EK | 1,BLARICUM
8933AT | 50,LEEUWARDEN
8304EA | 30,EMMELOORD
8601WH | 7,SNEEK
8448GV | 79,HEERENVEEN
9251RK | 5,BURGUM
9257MG | 70,NOARDBURGUM
9251GA | 38,BURGUM
8862AL | 133,HARLINGEN
8444AC | 77,HEERENVEEN
9101PL | 6,DOKKUM
8444AR | 4,HEERENVEEN
8911AW | 9,LEEUWARDEN
8442LE | 581,HEERENVEEN
8502AP | 21,JOURE
2514GD | 95,SGRAVENHAGE
8385GA | 1,VLEDDERVEEN DR
8453XK | 1,ORANJEWOUD
9251ME | 31,BURGUM
8447SN | 25,HEERENVEEN
8459BN | 245,LUINJEBERD
9281NW | 52,HARKEMA
9101NT | 91,DOKKUM
1781AE | 39,DEN HELDER
9076DL | 37,STANNAPAROCHIE
8921BL | 16,LEEUWARDEN
9101JD | 2,DOKKUM
9289XL | 12,DROGEHAM
8912BD | 1,LEEUWARDEN
7951CZ | 3,STAPHORST
8911LK | 1,LEEUWARDEN
9206AX | 49,DRACHTEN
8601VB | 1,SNEEK
8913HB | 6,LEEUWARDEN
8894KK | 4,FORMERUM
2411NT | 9,BODEGRAVEN
3542AR | 1,UTRECHT
1411GM | 111,NAARDEN
9244CM | 89,BEETSTERZWAAG
9298RE | 1,KOLLUMERZWAAG
9203CJ | 7,DRACHTEN
8397LJ | 1,DE BLESSE
8938AG | 49,LEEUWARDEN
8734GW | 11,EASTEREIN
8521JL | 3,SINT NICOLAASGA
9206AS | 31,DRACHTEN
8394VM | 34,DE HOEVE
1351AM | 139,ALMERE
8442LE | 58,HEERENVEEN
8734HV | 9,EASTEREIN
8835KX | 2,EASTERLITTENS
9261VX | 12,EASTERMAR
9204CM | 125,DRACHTEN
9041CB | 69,BERLTSUM
8919AG | 228,LEEUWARDEN
8801PN | 14,FRANEKER
8861KN | 9,HARLINGEN
8606JR | 4,SNEEK
8715EP | 34,STAVOREN
2035RC | 32,HAARLEM
8801PN | 13,FRANEKER
2131AE | 1,HOOFDDORP
9289KX | 3,DROGEHAM
1082MS | 17,AMSTERDAM
8501VZ | 23,JOURE
8855CZ | 2,SEXBIERUM
8426AM | 141,APPELSCHA
8601AM | 88,SNEEK
8608AA | 45,SNEEK
2291AA | 5,WATERINGEN
4311CV | 2,BRUINISSE
9076AB | 67,STANNAPAROCHIE
8459BL | 167,LUINJEBERD
9451TA | 57,ROLDE
9255KH | 10,TYTSJERK
8915BW | 50,LEEUWARDEN
8508RL | 28,DELFSTRAHUIZEN
9005PC | 3,WERGEA
8932NB | 57,LEEUWARDEN
8491PA | 2,AKKRUM
8938BG | 38,LEEUWARDEN
8621CZ | 3,HEEG
8939BG | 32,LEEUWARDEN
1906CG | 78,LIMMEN
8448JB | 10,HEERENVEEN
8754EV | 17,MAKKUM FR
8447GL | 2,HEERENVEEN
8861NE | 15,HARLINGEN
8447SL | 7,HEERENVEEN
8525GG | 8,LANGWEER
8442CT | 12,HEERENVEEN
8913HR | 55,LEEUWARDEN
9076PH | 20,STANNAPAROCHIE
1906BM | 162,LIMMEN
3818ED | 135,AMERSFOORT
8754GK | 19,MAKKUM FR
1624NP | 26,HOORN NH
1097DN | 224,AMSTERDAM
9034HP | 2,MARSUM
8446EG | 9,HEERENVEEN
1272JM | 2,HUIZEN
8501XK | 1,JOURE
9041VC | 5,BERLTSUM
3818LE | 4,AMERSFOORT
9073TW | 20,MARRUM
8938BA | 5,LEEUWARDEN
8604CA | 4,SNEEK
8935BE | 13,LEEUWARDEN
8409JK | 87,HEMRIK
8444AS | 8,HEERENVEEN
8606JC | 83,SNEEK
8447SL | 13,HEERENVEEN
8925AP | 2,LEEUWARDEN
3784VC | 32,TERSCHUUR
8346KE | 43,DE BULT
1051CG | 63,AMSTERDAM
8445PK | 1,HEERENVEEN
9103NL | 6,DOKKUM
8502TK | 5,JOURE
8392MT | 71,BOIJL
9285SZ | 1,BUITENPOST
9074TK | 53,HALLUM
8501ZJ | 3,JOURE
8447SB | 11,HEERENVEEN
9207JZ | 4,DRACHTEN
8401CZ | 1,GORREDIJK
9405PT | 5,ASSEN
6835EA | 1,ARNHEM
8445SB | 50,HEERENVEEN
9101NB | 1,DOKKUM
8601WH | 26,SNEEK
8723LZ | 4,KOUDUM
8447GL | 19,HEERENVEEN
9207HE | 6,DRACHTEN
3645HM | 54,VINKEVEEN
9251GA | 22,BURGUM
8754GJ | 3,MAKKUM FR
8632WG | 25,TIRNS
9001ZM | 6,GROU
1213NN | 9,HILVERSUM
9405BL | 3,ASSEN
9204WS | 5,DRACHTEN
8501ZP | 7,JOURE
6862AH | 157,OOSTERBEEK
8532CC | 23,LEMMER
1398AB | 40,MUIDEN
9289XL | 14,DROGEHAM
9202PD | 11,DRACHTEN
8801JW | 54,FRANEKER
9101PX | 21,DOKKUM
